Picarro Gas: time (epoch),Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: CO,Picarro Gas: H2O,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min)
1726275605.141543,-0.99,-0.001,-0.006,0.021,1726275604.341179,0.0,-3.5,1726275604.278608,0,1726275604.278608,8.4,-0.002
1726275606.005306,-0.99,-0.001,-0.006,0.021,1726275605.2199705,0.0,-3.4,1726275605.141543,0,1726275605.141543,9.2,0.002
1726275606.9028578,-0.99,-0.001,-0.006,0.021,1726275606.099339,0.0,-3.4,1726275606.005306,0,1726275606.005306,9.2,-0.002
1726275607.7986271,-0.99,-0.001,-0.006,0.021,1726275606.996609,0.0,-3.3,1726275606.9028578,0,1726275606.9028578,9.0,-0.002
1726275608.6783888,-0.99,-0.001,-0.006,0.021,1726275607.8613834,0.0,-3.3,1726275607.7986271,0,1726275607.7986271,9.2,-0.014
1726275609.5417943,-0.99,-0.001,-0.006,0.021,1726275608.7567897,0.0,-3.2,1726275608.6783888,0,1726275608.6783888,8.0,-0.006
1726275610.4224405,-0.99,-0.001,-0.006,0.021,1726275609.6199803,0.0,-3.2,1726275609.5417943,0,1726275609.5417943,8.6,-0.002
1726275611.3012836,-0.99,-0.001,-0.006,0.021,1726275610.485314,0.0,-3.1,1726275610.4224405,0,1726275610.4224405,8.8,0.0
1726275612.181637,-0.99,-0.001,-0.006,0.021,1726275611.3794582,0.0,-3.1,1726275611.3012836,0,1726275611.3012836,9.0,-0.002
1726275613.0937088,-0.99,-0.001,-0.006,0.021,1726275612.2599874,0.0,-3.1,1726275612.181637,0,1726275612.181637,8.8,0.0
1726275613.9893374,-0.99,-0.001,-0.006,0.021,1726275613.1721182,0.0,-3.1,1726275613.0781178,0,1726275613.0937088,8.2,0.0
1726275614.8858335,-0.99,-0.001,-0.006,0.021,1726275614.0833335,0.0,-3.1,1726275613.9893374,0,1726275613.9893374,6.6,-0.006
1726275615.7816706,-0.99,-0.001,-0.006,0.021,1726275614.9642391,0.0,-3.1,1726275614.8858335,0,1726275614.8858335,9.2,0.004
1726275616.679092,-0.99,-0.001,-0.006,0.021,1726275615.8600993,0.0,-3.1,1726275615.7660494,0,1726275615.7816706,8.4,0.004
1726275617.5744977,-0.99,-0.001,-0.006,0.021,1726275616.75751,0.0,-3.1,1726275616.6634698,0,1726275616.679092,8.4,0.0
1726275618.470009,-0.99,-0.001,-0.006,0.021,1726275617.6528938,0.0,-3.1,1726275617.5589037,0,1726275617.5589037,8.4,-0.002
1726275619.3657153,-0.99,-0.001,-0.006,0.021,1726275618.5485923,0.0,-3.1,1726275618.4544146,0,1726275618.4544146,9.0,0.006
1726275620.2614877,-0.99,-0.001,-0.006,0.021,1726275619.4438205,0.0,-3.1,1726275619.3500926,0,1726275619.3657153,7.8,-0.002
1726275621.1887336,-0.99,-0.001,-0.006,0.021,1726275620.3396683,0.0,-3.2,1726275620.2614877,0,1726275620.2614877,8.2,0.0
